make,vehicleModel,manufacturedYear,registeredYear,mileage,previousOwners,exteriorColor,fuelType,condition,transmission,bodyType,engineCapacity,value,normalized_value,normalized_engineCapacity,normalized_mileage,normalized_manufacturedYear,normalized_registeredYear
toyota,prius,2012,2017,165000,3,white,hybrid,pre-owned,automatic,hatchback,1800,9250000,0.08616187989556136,0.4029850746268656,0.40446446856440715,0.7948717948717956,0.8717948717948687
toyota,prius,2014,2017,95925,2,white,hybrid,pre-owned,automatic,hatchback,1800,10475000,0.09870475605385758,0.4029850746268656,0.22763925865246773,0.8461538461538467,0.8717948717948687
toyota,prius,2012,2017,190000,2,white,hybrid,pre-owned,automatic,hatchback,1500,9500000,0.08872165054011161,0.25373134328358204,0.46846201105877533,0.7948717948717956,0.8717948717948687
toyota,prius,2008,2011,277000,3,gray,hybrid,pre-owned,automatic,hatchback,1500,5695000,0.049761941330056826,0.25373134328358204,0.6911734589391767,0.6923076923076863,0.7179487179487154
toyota,prius,2013,2014,210000,2,black,hybrid,pre-owned,automatic,hatchback,1800,8825000,0.08181026979982593,0.4029850746268656,0.5196600450542699,0.8205128205128176,0.7948717948717956
toyota,prius,2009,2010,178500,2,white,hybrid,pre-owned,automatic,hatchback,1800,7975000,0.0731070496083551,0.4029850746268656,0.43902314151136596,0.7179487179487154,0.6923076923076934
toyota,prius,2008,2015,146000,2,gray,petrol,pre-owned,automatic,hatchback,1500,6285000,0.055803000051195414,0.25373134328358204,0.35582633626868726,0.6923076923076863,0.8205128205128176
toyota,prius,2012,2014,120000,1,blue,hybrid,pre-owned,automatic,hatchback,1800,8900000,0.082578200993191,0.4029850746268656,0.2892688920745443,0.7948717948717956,0.7948717948717956
toyota,prius,2013,2015,126000,3,black,petrol,pre-owned,automatic,hatchback,1800,9395000,0.0876465468694005,0.4029850746268656,0.3046283022731927,0.8205128205128176,0.8205128205128176
toyota,prius,2010,2011,148000,3,blue,hybrid,pre-owned,automatic,hatchback,1800,7500000,0.06824348538370963,0.4029850746268656,0.36094613966823674,0.7435897435897445,0.7179487179487154
toyota,prius,2016,2017,120000,2,white,hybrid,pre-owned,automatic,hatchback,1500,14500000,0.13991706343111657,0.25373134328358204,0.2892688920745443,0.8974358974358978,0.8717948717948687
toyota,prius,2008,2009,114000,2,black,petrol,pre-owned,automatic,hatchback,1500,6400000,0.056980494547688526,0.25373134328358204,0.273909481875896,0.6923076923076863,0.6666666666666643
toyota,prius,2012,2013,120000,3,blue,hybrid,pre-owned,automatic,hatchback,1800,8850000,0.08206624686428096,0.4029850746268656,0.2892688920745443,0.7948717948717956,0.7692307692307665
toyota,prius,2012,2013,80000,2,white,hybrid,pre-owned,automatic,hatchback,1800,8390000,0.0773562688783085,0.4029850746268656,0.18687282408355518,0.7948717948717956,0.7692307692307665
toyota,prius,2009,2010,124500,2,red,hybrid,pre-owned,automatic,hatchback,1800,7950000,0.07285107254390007,0.4029850746268656,0.30078844972353064,0.7179487179487154,0.6923076923076934
toyota,prius,2013,2014,104746,3,white,hybrid,pre-owned,automatic,hatchback,1800,10350000,0.09742487073158244,0.4029850746268656,0.2502201515461806,0.8205128205128176,0.7948717948717956
toyota,prius,2012,2013,126342,2,black,hybrid,pre-owned,automatic,hatchback,1800,8250000,0.07592279731736036,0.4029850746268656,0.30550378865451566,0.7948717948717956,0.7692307692307665
toyota,prius,2013,2014,113000,2,black,hybrid,pre-owned,automatic,hatchback,1800,9250000,0.08616187989556136,0.4029850746268656,0.2713495801761212,0.8205128205128176,0.7948717948717956
toyota,prius,2014,2014,105000,2,gray,hybrid,pre-owned,automatic,hatchback,1800,9100000,0.08462601750883121,0.4029850746268656,0.2508703665779234,0.8461538461538467,0.7948717948717956
toyota,prius,2012,2014,122433,2,white,hybrid,pre-owned,automatic,hatchback,1800,8990000,0.0834997184252291,0.4029850746268656,0.29549713291009627,0.7948717948717956,0.7948717948717956
toyota,prius,2009,2010,136000,1,gray,petrol,pre-owned,automatic,hatchback,1800,7585000,0.0691138074028567,0.4029850746268656,0.33022731927094,0.7179487179487154,0.6923076923076934
toyota,prius,2011,2013,176800,2,red,hybrid,pre-owned,automatic,hatchback,1500,6190000,0.054830287206266315,0.25373134328358204,0.4346713086217489,0.7692307692307665,0.7692307692307665
toyota,prius,2012,2013,96000,1,white,hybrid,pre-owned,automatic,hatchback,1800,8790000,0.0814519019095889,0.4029850746268656,0.22783125127995085,0.7948717948717956,0.7692307692307665
toyota,prius,2011,2012,284000,3,gray,petrol,pre-owned,automatic,hatchback,1500,5850000,0.05134899912967798,0.25373134328358204,0.7090927708375998,0.7692307692307665,0.7435897435897445
toyota,prius,2008,2009,117600,2,white,petrol,pre-owned,automatic,hatchback,1500,5900000,0.051860953258588034,0.25373134328358204,0.283125127995085,0.6923076923076863,0.6666666666666643
toyota,prius,2013,2014,145821,2,white,hybrid,pre-owned,automatic,hatchback,1800,10450000,0.09844877898940255,0.4029850746268656,0.3553681138644276,0.8205128205128176,0.7948717948717956
toyota,prius,2011,2012,106000,2,blue,hybrid,pre-owned,automatic,hatchback,1800,7975000,0.0731070496083551,0.4029850746268656,0.25343026827769816,0.7692307692307665,0.7435897435897445
toyota,prius,2010,2011,186000,3,blue,hybrid,pre-owned,automatic,hatchback,1800,7500000,0.06824348538370963,0.4029850746268656,0.4582224042596764,0.7435897435897445,0.7179487179487154
toyota,prius,2011,2012,157000,2,gray,hybrid,pre-owned,automatic,hatchback,1500,6495000,0.057953207392617626,0.25373134328358204,0.3839852549662093,0.7692307692307665,0.7435897435897445
toyota,prius,2015,2015,138000,2,black,hybrid,pre-owned,automatic,hatchback,1500,8475000,0.0782265908974556,0.25373134328358204,0.33534712267048944,0.8717948717948687,0.8205128205128176
toyota,prius,2013,2016,99800,1,gray,hybrid,pre-owned,automatic,hatchback,1800,9400000,0.0876977422822915,0.4029850746268656,0.23755887773909484,0.8205128205128176,0.8461538461538467
toyota,prius,2013,2014,95000,2,black,hybrid,pre-owned,automatic,hatchback,1800,10000000,0.0938411918292121,0.4029850746268656,0.2252713495801761,0.8205128205128176,0.7948717948717956
toyota,prius,2011,2013,166000,3,black,hybrid,pre-owned,automatic,hatchback,1800,8250000,0.07592279731736036,0.4029850746268656,0.40702437026418187,0.7692307692307665,0.7692307692307665
toyota,prius,2013,2014,91555,3,black,hybrid,pre-owned,automatic,hatchback,1800,8950000,0.08309015512210106,0.4029850746268656,0.21645248822445218,0.8205128205128176,0.7948717948717956
toyota,prius,2012,2013,180000,3,white,hybrid,pre-owned,automatic,hatchback,1500,8950000,0.08309015512210106,0.25373134328358204,0.4428629940610281,0.7948717948717956,0.7692307692307665
toyota,prius,2016,2016,93000,1,red,hybrid,pre-owned,automatic,hatchback,1800,15500000,0.15015614600931756,0.4029850746268656,0.22015154618062666,0.8974358974358978,0.8461538461538467
toyota,prius,2016,2017,120000,2,white,hybrid,pre-owned,automatic,hatchback,1500,14500000,0.13991706343111657,0.25373134328358204,0.2892688920745443,0.8974358974358978,0.8717948717948687
toyota,prius,2012,2013,160000,2,gray,petrol,pre-owned,automatic,hatchback,1800,8175000,0.07515486612399529,0.4029850746268656,0.3916649600655335,0.7948717948717956,0.7692307692307665
toyota,prius,2012,2013,192000,2,gray,hybrid,pre-owned,automatic,hatchback,1800,8300000,0.07643475144627042,0.4029850746268656,0.4735818144583248,0.7948717948717956,0.7692307692307665
toyota,prius,2017,2018,62493,1,black,petrol,pre-owned,automatic,hatchback,2000,18500000,0.18087339374392053,0.5024875621890547,0.14205662502559901,0.9230769230769198,0.8974358974358978
toyota,prius,2008,2009,160000,1,gray,petrol,pre-owned,automatic,hatchback,1500,5850000,0.05134899912967798,0.25373134328358204,0.3916649600655335,0.6923076923076863,0.6666666666666643
toyota,prius,2014,2014,94600,1,red,petrol,pre-owned,automatic,hatchback,1800,9900000,0.092817283571392,0.4029850746268656,0.22424738890026621,0.8461538461538467,0.7948717948717956
toyota,prius,2012,2013,167000,1,blue,petrol,pre-owned,automatic,hatchback,1800,8200000,0.07541084318845032,0.4029850746268656,0.4095842719639566,0.7948717948717956,0.7692307692307665
toyota,prius,2013,2015,150000,2,white,petrol,pre-owned,automatic,hatchback,1800,10500000,0.0989607331183126,0.4029850746268656,0.36606594306778617,0.8205128205128176,0.8205128205128176
toyota,prius,2007,2008,140000,2,gray,petrol,pre-owned,automatic,hatchback,1500,6000000,0.05288486151640813,0.25373134328358204,0.3404669260700389,0.6666666666666643,0.6410256410256352
toyota,prius,2009,2012,176500,2,black,hybrid,pre-owned,automatic,hatchback,1800,7975000,0.0731070496083551,0.4029850746268656,0.43390333811181653,0.7179487179487154,0.7435897435897445
toyota,prius,2011,2012,100800,2,gray,petrol,pre-owned,automatic,hatchback,1500,5700000,0.049813136742947836,0.25373134328358204,0.24011877943886956,0.7692307692307665,0.7435897435897445
toyota,prius,2013,2014,140000,2,red,hybrid,pre-owned,automatic,hatchback,1800,9300000,0.0866738340244714,0.4029850746268656,0.3404669260700389,0.8205128205128176,0.7948717948717956
toyota,prius,2008,2009,109982,3,black,petrol,pre-owned,automatic,hatchback,1500,5750000,0.05032509087185788,0.25373134328358204,0.26362379684620113,0.6923076923076863,0.6666666666666643
toyota,prius,2008,2010,119506,3,white,petrol,pre-owned,automatic,hatchback,1500,5885000,0.05170736701991502,0.25373134328358204,0.2880043006348556,0.6923076923076863,0.6923076923076934
toyota,prius,2009,2010,195000,3,blue,petrol,pre-owned,automatic,hatchback,1300,6950000,0.06261198996569907,0.154228855721393,0.481261519557649,0.7179487179487154,0.6923076923076934
toyota,prius,2010,2011,148000,2,black,hybrid,pre-owned,automatic,hatchback,1800,7050000,0.06363589822351917,0.4029850746268656,0.36094613966823674,0.7435897435897445,0.7179487179487154
toyota,prius,2012,2014,95000,1,white,hybrid,pre-owned,automatic,hatchback,1800,9750000,0.09128142118466186,0.4029850746268656,0.2252713495801761,0.7948717948717956,0.7948717948717956
toyota,prius,2010,2012,123000,2,black,petrol,pre-owned,automatic,hatchback,1800,7775000,0.07105923309271489,0.4029850746268656,0.2969485971738685,0.7435897435897445,0.7435897435897445
toyota,prius,2013,2014,142765,3,gray,hybrid,pre-owned,automatic,hatchback,1800,8575000,0.07925049915527568,0.4029850746268656,0.34754505426991605,0.8205128205128176,0.7948717948717956
toyota,prius,2008,2010,117000,3,white,hybrid,pre-owned,automatic,hatchback,1500,5790000,0.050734654174985926,0.25373134328358204,0.2815891869752202,0.6923076923076863,0.6923076923076934
